Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-09-29 00:00:00+07:00,301.8838806152344,304.8147962128296,284.2984083265167,301.8838806152344,76180670,0.0,0.0
2005-09-30 00:00:00+07:00,319.4693298339844,319.4693298339844,301.8838588151735,319.4693298339844,105493978,0.0,0.0
2005-10-03 00:00:00+07:00,328.2620544433594,331.19296982705674,307.74568935118197,328.2620544433594,59712955,0.0,0.0
2005-10-04 00:00:00+07:00,331.1930236816406,337.0548554022152,325.3312132579216,331.1930236816406,56236668,0.0,0.0
2005-10-05 00:00:00+07:00,337.0547790527344,337.0547790527344,325.3311395640738,337.0547790527344,31319315,0.0,0.0
2005-10-06 00:00:00+07:00,325.3312072753906,337.05484920409754,322.4002914690001,325.3312072753906,8107366,0.0,0.0
2005-10-07 00:00:00+07:00,328.2620544433594,328.2620544433594,319.46932958911935,328.2620544433594,6577562,0.0,0.0
2005-10-10 00:00:00+07:00,325.3312072753906,328.26210178492596,319.46937566260954,325.3312072753906,23223854,0.0,0.0
2005-10-11 00:00:00+07:00,325.3312072753906,325.3312072753906,322.4002914690001,325.3312072753906,13497395,0.0,0.0
2005-10-12 00:00:00+07:00,328.2620544433594,331.19296982705674,325.3311603565141,328.2620544433594,29804392,0.0,0.0
2005-10-13 00:00:00+07:00,331.1930236816406,331.1930236816406,328.2621078213533,331.1930236816406,12738446,0.0,0.0
2005-10-14 00:00:00+07:00,331.1930236816406,331.1930236816406,328.2621078213533,331.1930236816406,12018188,0.0,0.0
2005-10-17 00:00:00+07:00,331.1930236816406,331.1930236816406,331.1930236816406,331.1930236816406,0,0.0,0.0
2005-10-18 00:00:00+07:00,328.2620544433594,331.19296982705674,328.2620544433594,328.2620544433594,12110452,0.0,0.0
2005-10-19 00:00:00+07:00,322.4002380371094,328.2620473815485,322.4002380371094,322.4002380371094,5631107,0.0,0.0
2005-10-20 00:00:00+07:00,322.4002380371094,322.4002380371094,322.4002380371094,322.4002380371094,0,0.0,0.0
2005-10-21 00:00:00+07:00,322.4002380371094,322.4002380371094,322.4002380371094,322.4002380371094,3038774,0.0,0.0
2005-10-24 00:00:00+07:00,313.6075134277344,322.40025998834136,310.67661920438513,313.6075134277344,10875299,0.0,0.0
2005-10-25 00:00:00+07:00,313.6075134277344,313.6075134277344,313.6075134277344,313.6075134277344,0,0.0,0.0
2005-10-26 00:00:00+07:00,316.5384216308594,319.4693370833109,313.60750617840785,316.5384216308594,14298013,0.0,0.0
2005-10-27 00:00:00+07:00,307.74566650390625,319.4693058714716,307.74566650390625,307.74566650390625,16018298,0.0,0.0
2005-10-28 00:00:00+07:00,298.9529113769531,304.8147415203639,298.9529113769531,298.9529113769531,15390305,0.0,0.0
2005-10-31 00:00:00+07:00,301.8838806152344,301.8838806152344,296.02207071689764,301.8838806152344,25104858,0.0,0.0
2005-11-01 00:00:00+07:00,298.9529113769531,301.8838264486585,298.9529113769531,298.9529113769531,35012869,0.0,0.0
2005-11-07 00:00:00+07:00,298.9529113769531,298.9529113769531,298.9529113769531,298.9529113769531,0,0.0,0.0
2005-11-08 00:00:00+07:00,298.9529113769531,298.9529113769531,298.9529113769531,298.9529113769531,0,0.0,0.0
2005-11-09 00:00:00+07:00,298.9529113769531,298.9529113769531,298.9529113769531,298.9529113769531,0,0.0,0.0
2005-11-10 00:00:00+07:00,293.0911560058594,301.88388152838803,293.0911560058594,293.0911560058594,25747733,0.0,0.0
2005-11-11 00:00:00+07:00,287.22930908203125,296.02205542046687,287.22930908203125,287.22930908203125,12366412,0.0,0.0
2005-11-14 00:00:00+07:00,287.22930908203125,290.16022452817646,284.29839363588604,287.22930908203125,7637115,0.0,0.0
2005-11-15 00:00:00+07:00,281.3675231933594,290.16027093816007,281.3675231933594,281.3675231933594,33515804,0.0,0.0
2005-11-16 00:00:00+07:00,284.2984313964844,284.2984313964844,278.43662102247924,284.2984313964844,22512525,0.0,0.0
2005-11-17 00:00:00+07:00,281.3675231933594,284.29843910829294,278.43662857528176,281.3675231933594,9684790,0.0,0.0
2005-11-18 00:00:00+07:00,284.2984313964844,287.2293472319147,284.2984313964844,284.2984313964844,41161848,0.0,0.0
2005-11-21 00:00:00+07:00,293.0911560058594,293.0911560058594,287.22932479293775,293.0911560058594,80606388,0.0,0.0
2005-11-22 00:00:00+07:00,304.8148193359375,304.8148193359375,293.09117735306035,304.8148193359375,94172238,0.0,0.0
2005-11-23 00:00:00+07:00,304.8148193359375,307.7457351558706,301.88390351600435,304.8148193359375,68745942,0.0,0.0
2005-11-24 00:00:00+07:00,304.8148193359375,307.7457351558706,301.88390351600435,304.8148193359375,13425965,0.0,0.0
2005-11-25 00:00:00+07:00,298.9529113769531,307.7456565920693,298.9529113769531,298.9529113769531,19682090,0.0,0.0
2005-11-28 00:00:00+07:00,301.8838806152344,301.8838806152344,298.95296501763914,301.8838806152344,3297709,0.0,0.0
2005-11-29 00:00:00+07:00,319.4693298339844,319.4693298339844,301.8838588151735,319.4693298339844,105038609,0.0,0.0
2005-11-30 00:00:00+07:00,334.1239318847656,334.1239318847656,316.5384584229061,334.1239318847656,67989968,0.0,0.0
2005-12-01 00:00:00+07:00,339.9857177734375,345.84752727493327,334.1238869750894,339.9857177734375,83731474,0.0,0.0
2005-12-02 00:00:00+07:00,342.9166564941406,345.8475722746689,337.05484622993913,342.9166564941406,42402954,0.0,0.0
2005-12-05 00:00:00+07:00,339.9857177734375,342.91661187575926,337.05480237426343,339.9857177734375,22283352,0.0,0.0
2005-12-06 00:00:00+07:00,342.9166564941406,351.70940383572537,339.9857620104674,342.9166564941406,61745749,0.0,0.0
2005-12-07 00:00:00+07:00,337.0547790527344,345.8475033450171,337.0547790527344,337.0547790527344,23655413,0.0,0.0
2005-12-08 00:00:00+07:00,337.0547790527344,345.8475033450171,337.0547790527344,337.0547790527344,24497698,0.0,0.0
2005-12-09 00:00:00+07:00,366.36395263671875,369.2948683468086,339.9857538396194,366.36395263671875,114910904,0.0,0.0
2005-12-12 00:00:00+07:00,424.9821472167969,448.4294284039837,372.2257538972001,424.9821472167969,157772205,0.0,0.0
2005-12-13 00:00:00+07:00,424.9821472167969,439.6367245798546,413.2584853263507,424.9821472167969,117589550,0.0,0.0
2005-12-14 00:00:00+07:00,395.67303466796875,424.9821467695329,395.67303466796875,395.67303466796875,106342216,0.0,0.0
